#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-2652913.804451106,602113.2059208702,-2050800.598530236,299.10835824993404,2338.335383330233,0
10000,-2653516.9725036733,605343.1326923696,-2048173.8398113037,300.7128706313112,2327.2200905667005,17.1
15000,-2659136.8096085917,604654.5369107181,-2054482.2726978736,300.37080081500045,2310.2140894505187,17
20000,-2663790.7933321055,601353.6246672792,-2062437.1686648263,298.73102538381374,2297.815725851071,17
25000,-2663283.1570278388,604659.3922588663,-2058623.7647689725,300.3732127787293,2287.9910712889427,17
30000,-2664628.481850235,605238.5875305336,-2059389.8943197012,300.6609363249179,2279.4912099831454,17
35000,-2669685.01625189,603313.5689436843,-2066371.4473082055,299.70465577260467,2272.595553154518,16.9
40000,-2670793.019870527,604655.3673950662,-2066137.652475461,300.3712133699942,2263.10437163586,16.9
45000,-2673588.0461691115,604973.1933702055,-2068614.8527989062,300.5290979749128,2255.952027718621,16.9
50000,-2674898.4511407334,603150.6818570724,-2071747.7692836612,299.62373927953075,2253.1837901861854,16.9
55000,-2677546.3584256787,604848.756856811,-2072697.6015688677,300.4672823547574,2252.860481509427,16.9
60000,-2676869.0498779174,603648.1672258899,-2073220.8826520275,299.87087226126425,2251.778362685774,16.9
65000,-2679924.286589427,604944.0211421156,-2074980.2654473113,300.514606252817,2249.272723657342,16.8
70000,-2676887.405714305,603519.7332179525,-2073367.6724963526,299.80707082844424,2248.4484604349072,16.8
75000,-2677951.2206002586,605276.7812446947,-2072674.4393555638,300.67990959942153,2248.8718718311693,16.8
80000,-2676841.8983488083,603013.4999822548,-2073828.3983665535,299.55559221855475,2248.149138978576,16.7
85000,-2677413.452955013,604483.8822771251,-2072929.570677888,300.2860256817202,2246.4653328503528,16.7
90000,-2679168.605682686,602504.5034485059,-2076664.10223418,299.30274090078353,2245.2473178759324,16.7
95000,-2678125.0565918777,604131.8543471736,-2073993.2022447041,300.1111507659228,2245.4885888657254,16.7
100000,-2677992.0223717056,606164.1592462471,-2071827.8631254584,301.1207273303422,2244.5103414914024,16.7
105000,-2677441.044587478,601873.8883641022,-2075567.1562233758,298.9894738262055,2246.6337722233898,16.6
110000,-2678311.1773297656,605284.6333002637,-2073026.544029502,300.6838102204792,2245.8937298157994,16.6
115000,-2680415.3435595836,605129.0179078709,-2075286.3256517127,300.60650604565075,2246.20362399606,16.6
120000,-2680041.4896101635,603624.0464995715,-2076417.443110592,299.85888994501886,2244.130909069197,16.6
125000,-2678159.5480751265,602459.0739263694,-2075700.474148757,299.28017313503995,2243.1938998312326,16.6
130000,-2678703.421850836,603464.7483238813,-2075238.6735269546,299.77975629484416,2243.5344300771935,16.6
135000,-2679233.07914746,603159.837836777,-2076073.241310683,299.62828764357704,2244.9448035059368,16.6
140000,-2678328.335766593,605076.867714531,-2073251.468052062,300.58059969023634,2244.2614578402627,16.6
145000,-2679050.8792046327,604919.287903276,-2074131.5913013567,300.50231966220446,2242.5395099752295,16.6
150000,-2678780.2032127846,603602.6305592185,-2075177.572653566,299.84825126993854,2243.015411946815,16.5
155000,-2678185.368039407,603854.4650875733,-2074330.9029518336,299.97335367856556,2244.8358773966092,16.5
