#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-2697487.8049770147,606358.1997489234,-2091129.6052280911,301.2171197290121,2241.6979960813587,0
10000,-2694427.274925079,605060.3459658583,-2089366.9289592209,300.5723922749657,2237.45007782424,16.4
15000,-2694017.8453096356,603471.1663799034,-2090546.6789297322,299.78294455608983,2237.4689340739346,16.5
20000,-2699550.4240073822,604140.6640126279,-2095409.7599947543,300.1155270934055,2234.4772134943173,16.3
25000,-2698562.9095246773,602468.4118259589,-2096094.4976987184,299.28481187039444,2238.910377649503,16.3
30000,-2697638.68381189,603784.1609072761,-2093854.522904614,299.9384290701364,2233.042484927037,16.4
35000,-2698351.907606313,603157.9589955658,-2095193.9486107472,299.6273543022974,2233.1956463130573,16.4
40000,-2697933.0189716704,604534.7781436004,-2093398.2408280699,300.31130893230073,2235.987252435311,16.5
45000,-2699942.2822762206,603980.4652547907,-2095961.81702143,300.03594606615155,2232.2129201126463,16.4
50000,-2700995.5758860055,604375.5074177741,-2096620.0684682315,300.232188918239,2229.6329934527034,16.4
55000,-2699716.827221114,602619.4066572746,-2097097.4205638396,299.3598207153342,2231.20262653845,16.4
60000,-2697596.605473567,603791.2412625188,-2093805.364211048,299.9419463380051,2235.023751302844,16.4
65000,-2696322.2087657023,602795.170438959,-2093527.0383267433,299.4471338910999,2237.2296426331136,16.5
70000,-2702384.888873145,602099.369402728,-2100285.519470417,299.10148476138625,2230.930746206746,16.4
75000,-2699026.1754181217,603112.3300947656,-2095913.845323356,299.60468749234724,2229.02407916374,16.5
80000,-2698515.6617799867,603681.9384032385,-2094833.7233767482,299.88764857726864,2229.183481796874,16.4
85000,-2700234.5749407243,602904.0714409406,-2097330.5034997836,299.501232023468,2230.9659708720133,16.5
90000,-2700824.3710456677,603535.4071486911,-2097288.963896977,299.81485707801403,2232.161173291959,16.4
95000,-2700975.8072295953,606009.6948155332,-2094966.112414062,301.0439949122114,2230.7806635405245,16.4
100000,-2702604.65486861,603052.9877386335,-2099551.6671299767,299.5752083270627,2229.6703531600506,16.4
105000,-2696310.9984951895,605108.9201828361,-2091202.0783123532,300.59652221290867,2239.229176643674,16.4
110000,-2699294.521389222,602255.5850627107,-2097038.9363265112,299.1790871277367,2233.2089362059764,16.4
115000,-2701607.274860544,604531.4941388207,-2097075.7807217236,300.30967755589427,2235.5720891311826,16.4
120000,-2701907.6628410444,604931.6959466917,-2096975.9668943528,300.50848353547394,2233.8712619606936,16.4
125000,-2698739.735355912,606773.3511904259,-2091966.3841654859,301.4233521532005,2232.0029392658553,16.4
130000,-2701621.076097613,604130.8051054004,-2097490.270992213,300.1106295400451,2232.475227457854,16.4
135000,-2700709.1900332607,604276.9039678605,-2096432.2860654,300.18320624233786,2236.6281193233935,16.5
140000,-2699385.580572225,603709.7701375411,-2095675.8104346842,299.9014743898777,2231.810588993685,16.4
145000,-2699392.7099338956,604288.4592531815,-2095104.2506807141,300.1889464958109,2232.5393520918765,16.4
150000,-2700756.702044748,605435.2657921863,-2095321.4362525614,300.7586390681361,2234.6588550772312,16.4
155000,-2699579.2310352083,603505.8655055612,-2096073.365529647,299.8001818437064,2230.663960059592,16.4
160000,-2699260.2180153113,601849.655024562,-2097410.5629907493,298.9774355677294,2235.3275529449606,16.4
165000,-2702918.7307625897,604072.3226495584,-2098846.408113031,300.08157754254484,2233.329816745849,16.4
170000,-2701983.7092680503,604376.7142444744,-2097606.9950235756,300.23278842668606,2230.4535604761677,16.4
