#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-2656223.1695753206,604297.2473754769,-2051925.9221998437,299.85396439838775,2344.6957825187847,0
10000,-2662806.4744585305,604357.4728292971,-2058449.0016292334,299.88384843503377,2331.990817250332,18.4
15000,-2665329.897346763,605103.8244434157,-2060226.0729033472,300.25419016884206,2320.509802488167,18.1
20000,-2667258.122579105,604795.2181338075,-2062462.9044452976,300.1010588650404,2304.4240848131385,18.3
25000,-2673169.1312792134,606460.0792230066,-2066709.0520562069,300.92716753910287,2296.6246728458527,18.3
30000,-2676442.7698396537,603141.066769709,-2073301.7030699449,299.280264386174,2285.6760618151475,18.2
35000,-2674633.277110638,604955.3753557923,-2069677.9017548459,300.1805293212567,2280.027119767247,18.1
40000,-2681295.683462685,605786.3660834688,-2075509.3173792162,300.59286921715113,2271.3819889200126,18.1
45000,-2681843.2373330854,602804.4070773424,-2079038.830255743,299.11321291630935,2268.337638739317,18.1
50000,-2681060.405175017,603485.9984347963,-2077574.4067402207,299.4514204317661,2267.3105670549735,18.1
55000,-2681975.581715796,605976.8656093888,-2075998.7161064073,300.68739560844483,2262.330829288478,18
60000,-2682350.3559399713,603423.6754023624,-2078926.680537609,299.4204955708143,2260.9445972784574,17.9
65000,-2681307.444445001,606572.9817092861,-2074734.4627357149,300.9831900648522,2258.656339866121,17.9
70000,-2683015.770900663,601652.0899324465,-2081363.6809682166,298.5414299640587,2258.3010162504424,17.9
75000,-2681462.979578927,605753.7784509996,-2075709.2011279275,300.57669914384917,2257.8378608884027,17.9
80000,-2682190.205452135,604587.6001963579,-2077602.605255777,299.9980382706311,2257.810694263696,17.9
85000,-2685494.510441724,605449.3058144554,-2080045.204627269,300.42561898004703,2254.6021171339407,17.8
90000,-2680458.5762739033,604975.560528622,-2075483.0157452812,300.19054525980573,2252.077973988358,17.8
95000,-2686265.8103281725,604869.3394788133,-2081396.4708493592,300.1378380813004,2250.079149163029,17.8
100000,-2686265.0550182257,605834.3966224601,-2080430.6583957656,300.61670210335285,2250.7637821463504,17.8
105000,-2687209.2973594908,604888.5397863418,-2082320.757573149,300.1473653269648,2250.003619106436,17.7
110000,-2686084.8164562993,604165.5306137481,-2081919.2858425512,299.7886061771586,2249.182435028797,17.7
115000,-2684306.966822434,606831.1812947767,-2077475.7855276575,301.1113094128248,2249.398588069352,17.7
120000,-2683346.239303883,605475.9107303414,-2077870.3285735417,300.4388204128445,2251.764796764448,17.7
125000,-2684483.6052575205,606718.7351648585,-2077764.870092662,301.0555133323633,2252.3630312985347,17.7
130000,-2685810.3435625024,602947.9539784683,-2082862.3895840342,299.1844412854052,2248.5490324458533,17.7
135000,-2686025.3819304965,605520.5305524886,-2080504.8513780078,300.4609608919212,2248.414969563848,17.7
140000,-2685524.4797796756,604761.2965035094,-2080763.1832761662,300.0842268583286,2248.4054346822404,17.6
145000,-2685869.9034311958,604095.4021074611,-2081774.5013237346,299.753808218507,2249.0065073713054,17.6
